储能规模kWh,储能功率kW,是否工作日,总天数,储能每度电的日收益上限,0~8点超容天数,12～17超容天数,8～10放电受限天数,8～12放电受限天数,17～21放电受限天数,完成2cd天数,完成2cd天数平均每度电日收益,未完成2cd天数,未完成2cd天数平均每度电日收益,平均每度电的日收益,有需量收益天数,有需量收益天数的平均月收益,有需量罚款天数,有需量罚款天数的平均月罚款,平均需量月收益或罚款,平均IRR
1000,250,休息日,52,0.9628697391304347,0,17,32,43,52,2,0.9628697391304349,50,0.3661286605748641,0.38908024051930895,0,,52,-8510.0,-8510.0,-0.03168942038260429
1000,250,工作日,125,0.9628697391304347,0,98,19,74,124,7,0.9628697391304346,118,0.7019652590197464,0.7165759099059449,0,,125,-6688.0,-6688.0,0.019657558358663677
