datetime,battery_power,battery_energy,net_load_after_storage
2020-06-22 00:00:00,-309.25234378951984,3.006076779582448e-12,1637.252343790379
2020-06-22 01:00:00,-243.9365874647868,309.2523437895227,1451.936587466441
2020-06-22 02:00:00,-195.12758895322827,553.1889312543096,1449.1275889549338
2020-06-22 03:00:00,-189.337651273047,748.3165202075379,1377.3376512748955
2020-06-22 04:00:00,-198.50330475712934,937.6541714805852,1288.503304759036
2020-06-22 05:00:00,-204.41343536163959,1136.1574762377147,1330.4134353635372
2020-06-22 06:00:00,-238.73636783654067,1340.5709115993545,1336.7363678383724
2020-06-22 07:00:00,-420.69271339301406,1579.3072794358952,1166.6927133946874
2020-06-22 08:00:00,299.1358941295945,1999.9999928289092,158.86410586610452
2020-06-22 09:00:00,568.5381406285994,1700.864098699315,631.4618593658181
2020-06-22 10:00:00,132.3258975947185,1132.3259580707156,1643.674102368528
2020-06-22 11:00:00,1000.0000221954798,1000.0000604759962,1921.9999779872749
2020-06-22 12:00:00,-180.61590598518,3.828051535906219e-05,1900.6159059723127
2020-06-22 13:00:00,-129.39536879934494,180.61594426569377,1911.395368763608
2020-06-22 14:00:00,-879.7169530573569,310.0113130650374,1655.716953050988
2020-06-22 15:00:00,-715.1539792865295,1189.728266122393,1821.1539792801116
2020-06-22 16:00:00,-95.11769525903782,1904.8822454089218,1893.1176952515495
2020-06-22 17:00:00,548.8052011781726,1999.9999406679578,815.1947988169006
2020-06-22 18:00:00,437.22753075005903,1451.194739489785,944.7724692449268
2020-06-22 19:00:00,446.8450231908289,1013.9672087397257,999.1549768041508
2020-06-22 20:00:00,567.1221660180986,567.1221855488967,964.877833977003
2020-06-22 21:00:00,-157.82979225488504,1.953079794472149e-05,1851.829792251321
2020-06-22 22:00:00,-245.3349140809511,157.8298117856821,1757.334914078216
2020-06-22 23:00:00,403.16471703783634,403.16472586663286,1056.835282961909
