battery_size,battery_power,weekday,total_days,2cd_complete,0_8_days_when_exceeding_transformer_capacity,12_17_days_when_exceeding_transformer_capacity,8_10_days_when_battery_cannot_be_discharged,8_12_days_when_battery_cannot_be_discharged,17_21_days_when_battery_cannot_be_discharged,storage_per_kWh_revenue_threshold,days_with_good_energy_saving,avg_energy_saving_for_good_days,days_with_poor_energy_saving,avg_energy_saving_for_poor_days,avg_energy_saving_for_all_days,days_with_excessive_demand_saving,avg_demand_saving_for_excessive_days,days_with_low_demand_saving,avg_demand_saving_for_low_days,avg_demand_saving_for_all_days,avg_irr
10000,2500,0,9,2,6,0,4,8,8,0.9419480000000001,2,0.941948000000001,7,0.7011835564407239,0.7546867661205633,0,,9,,0.0,0.09456637346655371
10000,2500,1,20,3,10,0,10,18,16,0.9419480000000001,3,0.9419479999999999,17,0.7786752079951075,0.8031661267958412,0,,20,,0.0,0.10603014875556967
