date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
2020-09-24,False,True,0.41,340,80,40,2cd,1,359.0,-0.0,359.0,359.0,-2906.057319194469,-2906.057319194469,-2829.0277400640343,0.0,0.0,77.0295791304343,2310.887373913029,-30000,-30000,-30000,0,0,0.14121317591061922,0.0,-0.0
2020-09-25,False,True,0.41,340,80,40,2cd,1,383.1846154,-0.0,383.1846154,385.0923077,-2859.3536904097955,-2859.3536904097955,-2782.3241112793603,0.0,0.0,77.02957913043566,2310.887373913069,-30000,-30000,-30000,0,0,0.1412131759106212,0.0,-0.0
2020-09-26,False,True,0.41,340,80,40,2cd,1,181.6230769,-0.0,181.6230769,208.0461538,-1482.512135731764,-1482.512135731764,-1405.4825566013296,0.0,0.0,77.02957913043473,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
2020-09-27,False,True,0.41,340,80,40,2cd,1,370.7538462,-0.0,370.7538462,357.7,-2925.8567557734414,-2925.8567557734414,-2848.8271766430066,0.0,0.0,77.02957913043473,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
2020-09-28,False,True,0.41,340,80,40,2cd,1,398.1076923,-0.0,398.1076923,438.10769230000005,-3009.3375625863746,-3009.3375625863746,-2932.3079834559394,0.0,0.0,77.0295791304352,2310.887373913056,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
2020-09-29,False,True,0.41,340,80,40,2cd,1,372.6153846,-0.0,372.6153846,356.5230769,-2686.342144245636,-2686.342144245636,-2609.3125651152013,0.0,0.0,77.02957913043473,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
2020-09-30,False,True,0.41,340,80,40,2cd,1,316.05,-0.0,316.05,322.3384615,-2077.983758580025,-2077.983758580025,-2000.9541794495901,0.0,0.0,77.02957913043497,2310.887373913049,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
2020-10-01,False,True,0.41,340,80,40,2cd,1,32.62307692,-0.0,32.62307692,68.8,-211.32385596311417,-211.32385596311417,-160.29683892899817,0.0,0.0,51.02701703411597,1530.8105110234796,-30000,-30000,-30000,0,0,0.07105658363852108,0.0,-0.0
2020-10-02,False,True,0.41,340,80,40,2cd,1,28.98461538,-0.0,28.98461538,68.3,-192.2910609021937,-192.2910609021937,-148.33176823334603,0.0,0.0,43.95929266884761,1318.7787800654282,-30000,-30000,-30000,0,0,0.05023260246701877,0.0,-0.0
2020-10-03,False,True,0.41,340,80,40,2cd,1,30.23076923,-0.0,30.23076923,68.31538462,-193.140983064897,-193.140983064897,-146.91588415569353,0.0,0.0,46.225098909203474,1386.752967276104,-30000,-30000,-30000,0,0,0.05702117412170238,0.0,-0.0
