,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
0,2020-08-01,False,True,0.41,340,80,40,2cd,1,63.63846154,-0.0,63.63846154,102.29230769,-716.0088180227517,-716.0088180227517,-638.9792388923167,0.0,0.0,77.02957913043497,2310.887373913049,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
1,2020-08-02,False,True,0.41,340,80,40,2cd,1,58.14615385,-0.0,58.14615385,96.37692308,-721.1255722855917,-721.1255722855917,-644.0959931551567,0.0,0.0,77.02957913043497,2310.887373913049,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
2,2020-08-03,False,True,0.41,340,80,40,2cd,1,446.5615385,-0.0,446.5615385,446.5615385,-3340.2469004607274,-3340.2469004607274,-3263.217321330292,0.0,0.0,77.0295791304352,2310.887373913056,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
3,2020-08-04,False,True,0.41,340,80,40,2cd,1,370.9923077,-0.0,370.9923077,382.6923077,-3267.352362683464,-3267.352362683464,-3190.322783553029,0.0,0.0,77.0295791304352,2310.887373913056,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
4,2020-08-05,False,True,0.41,340,80,40,2cd,1,431.00769230000003,-0.0,431.00769230000003,423.01538460000006,-3443.30161255114,-3443.30161255114,-3366.2720334207047,0.0,0.0,77.0295791304352,2310.887373913056,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
5,2020-08-06,False,True,0.41,340,80,40,2cd,1,403.2692308,-0.0,403.2692308,428.5615385,-3255.08876089085,-3255.08876089085,-3178.0591817604154,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
6,2020-08-07,False,True,0.41,340,80,40,2cd,1,449.96153849999996,-0.0,449.96153849999996,449.96153849999996,-3484.8324330050673,-3484.8324330050673,-3407.802853874632,0.0,0.0,77.0295791304352,2310.887373913056,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
7,2020-08-08,False,True,0.41,340,80,40,2cd,1,193.55384619999998,-0.0,193.55384619999998,203.1,-1489.577830214701,-1489.577830214701,-1412.5482510842662,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
8,2020-08-09,False,True,0.41,340,80,40,2cd,1,158.87142859999997,-0.0,158.87142859999997,198.87142859999997,-1486.354720644797,-1486.354720644797,-1409.3251415143623,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
9,2020-08-10,False,True,0.41,340,80,40,2cd,1,416.2,-0.0,416.2,446.21538460000005,-3528.3043588793143,-3528.3043588793143,-3451.27477974888,0.0,0.0,77.02957913043429,2310.8873739130286,-30000,-30000,-30000,0,0,0.14121317591061922,0.0,-0.0
10,2020-08-11,False,True,0.41,340,80,40,2cd,1,398.2307692,-0.0,398.2307692,398.2307692,-3205.1936430526684,-3205.1936430526684,-3128.1640639222337,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
11,2020-08-12,False,True,0.41,340,80,40,2cd,1,408.53846150000004,-0.0,408.53846150000004,402.97857139999996,-3153.2130434820638,-3153.2130434820638,-3076.183464351629,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
12,2020-08-13,False,True,0.41,340,80,40,2cd,1,437.92307689999996,-0.0,437.92307689999996,466.2384615,-3449.496432635764,-3449.496432635764,-3372.4668535053293,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
13,2020-08-14,False,True,0.41,340,80,40,2cd,1,395.8153846,-0.0,395.8153846,400.00714289999996,-3158.413327115833,-3158.413327115833,-3081.3837479853983,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
14,2020-08-15,False,True,0.41,340,80,40,2cd,1,66.85384615,-0.0,66.85384615,102.63076923,-769.5370667938039,-769.5370667938039,-692.5074876633691,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
15,2020-08-16,False,True,0.41,340,80,40,2cd,1,60.94615385,-0.0,60.94615385,93.81538462,-688.7773293367752,-688.7773293367752,-611.7477502063405,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
16,2020-08-17,False,True,0.41,340,80,40,2cd,1,408.9,-0.0,408.9,448.9,-3437.276201130302,-3437.276201130302,-3360.246621999868,0.0,0.0,77.02957913043429,2310.8873739130286,-30000,-30000,-30000,0,0,0.14121317591061922,0.0,-0.0
17,2020-08-18,False,True,0.41,340,80,40,2cd,1,463.8538462,-0.0,463.8538462,463.8538462,-3632.7352313849415,-3632.7352313849415,-3555.7056522545063,0.0,0.0,77.0295791304352,2310.887373913056,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
18,2020-08-19,False,True,0.41,340,80,40,2cd,1,412.7076923,-0.0,412.7076923,412.7076923,-3414.1498021317575,-3414.1498021317575,-3337.1202230013223,0.0,0.0,77.0295791304352,2310.887373913056,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
19,2020-08-20,False,True,0.41,340,80,40,2cd,1,405.37142860000006,-0.0,405.37142860000006,405.4461538,-3327.833623983156,-3327.833623983156,-3250.8040448527213,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
20,2020-08-21,False,True,0.41,340,80,40,2cd,1,455.0307692,-0.0,455.0307692,455.0307692,-3429.1659984896232,-3429.1659984896232,-3352.136419359189,0.0,0.0,77.02957913043429,2310.8873739130286,-30000,-30000,-30000,0,0,0.14121317591061922,0.0,-0.0
21,2020-08-22,False,True,0.41,340,80,40,2cd,1,63.84615385,-0.0,63.84615385,103.84615385000001,-671.8818826358579,-671.8818826358579,-594.8523035054232,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
22,2020-08-23,False,True,0.41,340,80,40,2cd,1,51.39230769,-0.0,51.39230769,90.79230769,-624.905494377906,-624.905494377906,-547.8759152474711,0.0,0.0,77.02957913043497,2310.887373913049,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
23,2020-08-24,False,True,0.41,340,80,40,2cd,1,415.7923077,-0.0,415.7923077,451.1384615,-3469.0384985836863,-3469.0384985836863,-3392.008919453251,0.0,0.0,77.0295791304352,2310.887373913056,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
24,2020-08-25,False,True,0.41,340,80,40,2cd,1,423.0692308,-0.0,423.0692308,396.28461539999995,-3309.590470475635,-3309.590470475635,-3232.5608913452,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
25,2020-08-26,False,True,0.41,340,80,40,2cd,1,433.3615385,-0.0,433.3615385,433.3615385,-3334.1024824326637,-3334.1024824326637,-3257.072903302229,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
26,2020-08-27,False,True,0.41,340,80,40,2cd,1,360.3153846,-0.0,360.3153846,399.3384615,-3075.531759688459,-3075.531759688459,-2998.5021805580236,0.0,0.0,77.0295791304352,2310.887373913056,-30000,-30000,-30000,0,0,0.14121317591062033,0.0,-0.0
27,2020-08-28,False,True,0.41,340,80,40,2cd,1,441.7076923,-0.0,441.7076923,441.7076923,-3210.569138351389,-3210.569138351389,-3133.5395592209543,0.0,0.0,77.02957913043474,2310.887373913042,-30000,-30000,-30000,0,0,0.14121317591061966,0.0,-0.0
