date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
2021-04-04,True,True,0.41,340,225,100,2cd,1,245.7086923,-412.3391377,90.83477987,188.55217483,-1180.5603354466914,-188.38227630213657,-188.97310147974054,992.1780591445548,29765.341774336644,-0.5908251776039606,-17.724755328118817,0,0,0,0,0,,7538.189645325301,-0.0
2021-04-05,True,True,0.41,340,225,100,2cd,1,708.2956686000001,-417.93750750000004,472.1434842499999,518.6478245,-4836.936297405881,-2763.48315849004,-2546.390155451426,2073.4531389158415,62203.59416747525,217.09300303861392,6512.790091158417,0,0,0,0,0,0.14162036556599444,12.213782322300007,-2.5129583469999934
2021-04-06,True,True,0.41,340,225,100,2cd,1,779.6130359,-390.321731,571.23915127,629.2086808,-6328.889795544735,-4552.975069427735,-4336.329378123388,1775.9147261169992,53277.441783509974,216.64569130434757,6499.370739130427,0,0,0,0,0,0.14121317591061966,0.0,-0.0
2021-04-07,True,True,0.41,340,225,100,2cd,1,720.6826197,-293.2956517,604.1666533,670.17080984,-6440.2476020949325,-5376.599278931475,-5159.9535876271275,1063.6483231634575,31909.449694903724,216.64569130434757,6499.370739130427,0,0,0,0,0,0.14121317591061966,0.0,-0.0
2021-04-08,True,True,0.41,340,225,100,2cd,1,763.4249967999999,-416.40869280000004,552.07915518,556.4166616999998,-6628.792719800265,-4788.860496345696,-4572.214805041349,1839.9322234545689,55197.96670363707,216.64569130434757,6499.370739130427,0,0,0,0,0,0.14121317591061966,0.0,-0.0
2021-04-09,True,True,0.41,340,225,100,2cd,1,764.6333413,-401.649994,497.6260892999999,497.6260892999999,-6708.74964619059,-4410.365722294804,-4193.4785751571235,2298.383923895786,68951.51771687358,216.88714713768059,6506.614414130418,0,0,0,0,0,0.1414329993611092,0.0,-1.9577499999999906
2021-04-10,True,True,0.41,340,225,100,2cd,1,797.9913064,-424.852165,479.81305309000015,545.574997,-6283.900708736586,-4259.770393656463,-4043.1247023521146,2024.1303150801232,60723.90945240369,216.64569130434847,6499.370739130454,0,0,0,0,0,0.14121317591062033,0.0,-0.0
2021-04-11,True,True,0.41,340,225,100,2cd,1,481.1347892,-135.547825,455.8916613999999,555.8916614,-3122.395683946027,-2763.242434869111,-2663.8282376574584,359.1532490769159,10774.597472307478,99.41419721165266,2982.42591634958,0,0,0,0,0,0.02301642682456917,0.0,-0.0
2021-04-12,True,True,0.41,340,225,100,2cd,1,707.8087148,-247.3250026,596.05832187,666.8173856000001,-5748.5463549145425,-5185.359070629969,-4968.713379325622,563.1872842845733,16895.618528537198,216.64569130434757,6499.370739130427,0,0,0,0,0,0.14121317591061966,0.0,-0.0
2021-04-13,True,True,0.41,340,225,100,2cd,1,765.0565147000001,-347.70001,564.27391256,651.59567617,-6426.77925681199,-4877.088648377736,-4660.442957073387,1549.6906084342545,46490.71825302763,216.64569130434847,6499.370739130454,0,0,0,0,0,0.14121317591062033,0.0,-0.0
