datetime,net_load_before_pv,pv,net_load_after_pv
1/15/21 9:20,543.1130398,119.6086957,423.5043442
1/15/21 9:25,548.8124938,126.0708339,422.7416599
1/15/21 9:30,524.7564417,131.2955602,393.4608816
1/15/21 9:35,520.6833331,137.3500048,383.3333283
1/15/21 9:40,552.3499948,141.9249992,410.4249955
1/15/21 9:45,543.1478154,146.9913025,396.1565129
1/15/21 9:50,508.4913103,152.6826027,355.8087077
1/15/21 9:55,477.8304298,157.5652213,320.2652085
1/15/21 10:00,550.7086971,160.1782644,390.5304327
1/15/21 10:05,546.6478265,165.1782579,381.4695686
1/15/21 10:10,589.1999945,168.8000005,420.399994
1/15/21 10:15,629.6782566,172.4521756,457.226081
1/15/21 10:20,598.2791503,175.520829,422.7583213
1/15/21 10:25,646.1624985,178.0499992,468.1124993
1/15/21 10:30,619.5000075,182.9500045,436.550003
1/15/21 10:35,625.6166812,184.100006,441.5166752
1/15/21 10:40,622.1999918,188.7608663,433.4391255
1/15/21 10:45,576.8041612,191.237503,385.5666582
1/15/21 10:50,591.7375068,192.6624985,399.0750083
1/15/21 10:55,612.6583278,194.2208391,418.4374888
1/15/21 11:00,597.6478363,199.5565277,398.0913085
1/15/21 11:05,626.6333363,200.2666677,426.3666687
1/15/21 11:10,623.6956554,201.1565187,422.5391367
1/15/21 11:15,635.0499993,212.7875023,422.262497
1/15/21 11:20,564.5583243,194.5083363,370.049988
1/15/21 11:25,541.4333356,190.0750033,351.3583323
1/15/21 11:30,420.8749938,170.6166637,250.2583301
1/15/21 11:35,355.9478262,121.6739124,234.2739138
1/15/21 11:40,378.8000049,236.4750023,142.3250026
1/15/21 11:45,329.652175,102.8782611,226.7739138
1/15/21 11:50,350.5434789,164.7347856,185.8086933
1/15/21 11:55,366.1739209,216.2782639,149.895657
1/15/21 12:00,381.800003,216.25,165.550003
1/15/21 12:05,442.3304422,175.939134,266.3913083
1/15/21 12:10,408.6708298,112.1458333,296.5249965
1/15/21 12:15,429.8347747,165.3173882,264.5173865
1/15/21 12:20,426.4217429,226.0391282,200.3826147
1/15/21 12:25,439.0432574,158.6739124,280.369345
1/15/21 12:30,410.7782577,105.530435,305.2478227
1/15/21 12:35,500.0738999,233.9782576,266.0956423
1/15/21 12:40,649.743474,215.186958,434.556516
1/15/21 12:45,640.1472288,141.4478285,498.6994003
1/15/21 12:50,646.2083357,83.35833467,562.850001
1/15/21 12:55,642.4130428,135.3652204,507.0478224
1/15/21 13:00,641.9749966,198.9499989,443.0249978
1/15/21 13:05,692.4749948,189.3041724,503.1708223
1/15/21 13:10,656.0260892,167.9695653,488.0565238
1/15/21 13:15,695.9173955,192.4434801,503.4739154
1/15/21 13:20,653.4913195,146.6826118,506.8087077
1/15/21 13:25,662.8304263,125.2565205,537.5739057
1/15/21 13:30,672.424988,175.4083316,497.0166564
1/15/21 13:35,689.9912784,176.2434753,513.7478031
1/15/21 13:40,640.8250145,141.8750025,498.950012
1/15/21 13:45,623.8499815,93.6499995,530.199982
1/15/21 13:50,616.2123681,110.0375023,506.1748659
1/15/21 13:55,596.9958243,147.0374998,449.9583246
1/15/21 14:00,632.4043382,92.908698,539.4956402
1/15/21 14:05,602.5166665,96.15000283,506.3666637
1/15/21 14:10,616.6999785,95.6000025,521.099976
1/15/21 14:15,601.0166768,112.7833345,488.2333423
1/15/21 14:20,601.8499923,98.30000175,503.5499905
1/15/21 14:25,598.8750074,98.10000092,500.7750065
1/15/21 14:30,600.6608777,103.7695681,496.8913096
1/15/21 14:35,592.5000093,123.5000018,469.0000075
1/15/21 14:40,610.2956618,94.26956548,516.0260963
1/15/21 14:45,635.2565182,92.513041,542.7434772
1/15/21 14:50,605.0739169,105.7869588,499.2869581
1/15/21 14:55,614.9826002,100.4304336,514.5521666
1/15/21 15:00,574.5130423,108.095652,466.4173903
1/15/21 15:05,577.7478289,102.7086961,475.0391328
1/15/21 15:10,571.7217459,93.9086967,477.8130492
1/15/21 15:15,580.100014,76.400002,503.700012
1/15/21 15:20,553.9999902,85.0434763,468.9565139
1/15/21 15:25,586.2949705,75.72174183,510.5732287
1/15/21 15:30,530.9782653,71.61304165,459.3652237
1/15/21 15:35,555.5652167,65.1739137,490.391303
1/15/21 15:40,549.7521668,60.94347874,488.8086881
1/15/21 15:45,584.6956324,54.30434891,530.3912835
1/15/21 15:50,545.3517436,50.24347796,495.1082657
1/15/21 15:55,565.7247713,44.8500005,520.8747708
1/15/21 16:00,591.1912909,40.22173926,550.9695517
1/15/21 16:05,582.6416703,35.46249908,547.1791712
1/15/21 16:10,531.1874928,31.35,499.8374928
