储能规模kWh,储能功率kW,是否工作日,总天数,储能每度电的日收益上限,0~8点超容天数,12～17超容天数,8～10放电受限天数,8～12放电受限天数,17～21放电受限天数,完成2cd天数,完成2cd天数平均每度电日收益,未完成2cd天数,未完成2cd天数平均每度电日收益,平均每度电的日收益,有需量收益天数,有需量收益天数的平均月收益,有需量罚款天数,有需量罚款天数的平均月罚款,平均需量月收益或罚款,平均IRR
2000,500,休息日,34,0.9545010434782609,0,0,15,22,1,20,0.9631351831549528,14,0.868054245846543,0.9239842089691371,5,3167.0,29,-12394.0,-9377.0,0.062253062224176724
2000,500,工作日,85,0.9545010434782609,0,0,29,39,1,57,0.9627003697232299,28,0.7971810835702435,0.9081763695787166,17,10379.0,68,-12025.0,-6978.0,0.06258660487454541
