,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete,weekday
0,2020-03-16,True,True,0.39,340,2000,500,2cd,1,2880.903,-2976.98,1653.997,1653.997,-23047.051982899997,-10890.5658537,-8951.876758895653,12156.486129199997,364694.5838759999,1938.6890948043474,58160.67284413042,-115236.12,-66159.88,-66159.88,49076.23999999999,0.0,0.09117164113316778,646.5788084688091,-275.5457821361058,1348.0,1653.997,0.0,0.0,1198.0,18122.48,0.8315716563341208,0,1
1,2020-03-17,True,True,0.39,340,2000,500,2cd,1,3563.58,-2808.54,1659.9950000000001,1668.0,-24679.345127200002,-12274.1070845,-9549.487155295652,12405.238042700003,372157.1412810001,2724.6199292043475,81738.59787613043,-142543.2,-66399.8,-66720.0,76143.40000000001,-320.1999999999971,0.15225076274964522,654.2539313421548,-630.338882325142,1659.9950000000001,921.9970000000001,367.9970000000003,0.0,1052.0,19033.93,1.0471405234396027,1,1
2,2020-03-18,True,True,0.39,340,2000,500,2cd,1,2060.518,-2782.51,1658.0,1618.0,-21179.5389703,-9607.8139723,-7640.549360295652,11571.724998,347151.74994,1967.2646120043482,59017.93836013044,-82420.72,-66320.0,-64720.0,16100.720000000001,1600.0,0.09862358749106837,1465.1274934593569,-288.44564035916824,1118.0,662.0,0.0,0.0,1044.0,19155.98,0.83940948582259,0,1
3,2020-03-19,True,True,0.39,340,2000,500,2cd,1,1653.362,-2745.84,1011.9960000000001,1290.0,-15495.8523716,-6300.2681378,-4855.607029295652,9195.5842338,275867.527014,1444.6611085043478,43339.833255130434,-66134.48000000001,-40479.840000000004,-51600.0,25654.640000000007,-11120.159999999996,0.005352564142738547,2938.0325667674856,-52.526512287334626,790.0,526.0030000000002,0.0,0.0,792.0,18679.18,0.6960672981085066,0,1
4,2020-03-20,True,True,0.39,340,2000,500,2cd,1,1427.01,-2804.27,972.0,1240.0,-15234.525805199999,-5851.1851586,-4414.686587995652,9383.340646599998,281500.2193979999,1436.498570604348,43094.95711813044,-57080.4,-38880.0,-49600.0,18200.4,-10720.0,0.006200736619366154,3184.766292362949,-48.84169423440453,778.003,587.9949999999999,0.0,0.0,656.0,19786.19,0.6938284381849718,0,1
5,2020-03-21,True,True,0.39,340,2000,500,2cd,1,1534.0410000000002,-2598.85,1222.004,1270.0,-16344.464913,-8004.2673389,-6596.346326895653,8340.197574099999,250205.92722299998,1407.9210120043472,42237.63036013042,-61361.64000000001,-48880.159999999996,-50800.0,12481.48000000001,-1919.8400000000038,0.038123269943697746,2141.091459810964,-35.940914461247665,870.003,1222.004,0.0,0.0,772.0,15597.19,0.6859900487715497,0,0
6,2020-03-22,True,True,0.39,340,2000,500,2cd,1,1171.765,-2663.88,806.0,1306.0,-9834.196858899999,-5464.1560733999995,-3315.2170683956524,4370.040785499999,131101.223565,2148.939005004347,64468.17015013041,-46870.600000000006,-32240.0,-52240.0,14630.600000000006,-20000.0,0.04195409601036015,2456.2117235160677,-370.4589910207939,806.0,378.00399999999996,0.0,0.0,504.00199999999995,12398.82,0.8892400069917765,0,0
7,2020-04-06,True,True,0.39,340,2000,500,2cd,1,1982.404,-2300.4,1172.0,1326.0,-14097.6271891,-7416.1514136999995,-5163.096925895652,6681.4757754,200444.273262,2253.0544878043474,67591.63463413043,-79296.16,-46880.0,-53040.0,32416.160000000003,-6160.0,0.09742845330769168,1389.0512841209832,-458.9305647448014,846.003,249.99800000000005,202.00099999999998,0.0,703.996,13330.470000000001,0.897061961529773,0,1
8,2020-04-07,True,True,0.39,340,2000,500,2cd,1,1753.3629999999998,-2762.95,1552.0,2052.0,-19039.988743399997,-8566.810671,-7218.096383195652,10473.178072399998,314195.342172,1348.714287804347,40461.42863413041,-70134.51999999999,-62080.0,-82080.0,8054.5199999999895,-20000.0,-0.06172672398792001,1929.639355463138,-9.213197069943265,1552.0,951.9970000000001,0.0,0.0,932.0,17691.010000000002,0.6697505453672018,0,1
9,2020-04-08,True,True,0.39,340,2000,500,2cd,1,1341.519,-2682.87,1230.0,1730.0,-14914.501102799999,-6497.8798965999995,-5169.574505295652,8416.6212062,252498.636186,1328.3053913043477,39849.16173913043,-53660.76,-49200.0,-69200.0,4460.760000000002,-20000.0,-0.06570756165347924,3242.39958,-0.0,1230.0,563.9989999999999,0.0,0.0,747.998,18441.98,0.6641526956521738,0,1
