,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
81,2021-04-06,True,True,0.41,340,500,125,2cd,1,779.6130359,-390.321731,571.23915127,693.3434956700022,-6328.889795544735,-4552.975069427735,-4071.595696693939,1775.9147261169992,53277.441783509974,481.3793727337966,14441.381182013898,-30000,-30000,-30000,0,0,0.1411904363713561,0.0,-0.0
82,2021-04-07,True,True,0.41,340,500,125,2cd,1,720.6826197,-293.2956517,604.1666533,729.1666533,-6440.2476020949325,-5376.599278931475,-4895.164409522784,1063.6483231634575,31909.449694903724,481.43486940869116,14443.046082260735,-30000,-30000,-30000,0,0,0.14121317584648452,0.0,-0.0
83,2021-04-08,True,True,0.41,340,500,125,2cd,1,763.4249967999999,-416.40869280000004,552.07915518,627.3500097000001,-6628.792719800265,-4788.860496345696,-4307.425626937006,1839.9322234545689,55197.96670363707,481.43486940869025,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
84,2021-04-09,True,True,0.41,340,500,125,2cd,1,764.6333413,-401.649994,497.6260892999999,590.6869626,-6708.74964619059,-4410.365722294804,-3928.689397052781,2298.383923895786,68951.51771687358,481.67632524202327,14450.289757260698,-30000,-30000,-30000,0,0,0.14131210373535907,0.0,-1.9577499999999906
85,2021-04-10,True,True,0.41,340,500,125,2cd,1,797.9913064,-424.852165,479.81305309000015,603.8260961000001,-6283.900708736586,-4259.770393656463,-3778.335524247773,2024.1303150801232,60723.90945240369,481.43486940869025,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
86,2021-04-11,True,True,0.41,340,500,125,2cd,1,481.1347892,-135.547825,455.8916613999999,580.8916614,-3122.395683946027,-2763.242434869111,-2658.662534043461,359.1532490769159,10774.597472307478,104.57990082564993,3137.397024769498,-30000,-30000,-30000,0,0,-0.0650521067259513,0.0,-0.0
87,2021-04-12,True,True,0.41,340,500,125,2cd,1,707.8087148,-247.3250026,596.05832187,721.05832187,-5748.5463549145425,-5185.359070629969,-4703.924201221279,563.1872842845733,16895.618528537198,481.43486940869025,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
88,2021-04-13,True,True,0.41,340,500,125,2cd,1,765.0565147000001,-347.70001,564.27391256,676.59567617,-6426.77925681199,-4877.088648377736,-4395.653778969045,1549.6906084342545,46490.71825302763,481.43486940869116,14443.046082260735,-30000,-30000,-30000,0,0,0.14121317584648452,0.0,-0.0
89,2021-04-14,True,True,0.41,340,500,125,2cd,1,698.2862111000001,-194.7434818,602.2869476100001,727.2869476100001,-6478.214013442023,-5776.273266409824,-5294.838397001133,701.9407470321994,21058.22241096598,481.43486940869116,14443.046082260735,-30000,-30000,-30000,0,0,0.14121317584648452,0.0,-0.0
90,2021-04-15,True,True,0.41,340,500,125,2cd,1,726.995661,-389.1347737,567.71739651,584.0652226,-6227.271968946434,-4499.524132578869,-4018.0892631701795,1727.7478363675646,51832.435091026935,481.4348694086898,14443.046082260695,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
