,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete
21,2020-08-22,False,True,0.41,340,500,125,2cd,1,63.84615385,-0.0,63.84615385,188.84615385,-671.8818826358579,-671.8818826358579,-576.3641049616475,0.0,0.0,95.51777767421038,2865.5333302263116,-2553.846154,-2553.846154,-7553.846154000001,0.0,-5000.000000000001,,0.0,-0.0,63.84615385,53.55384615,37.86153846,37.86153846,35.07692308,0.0,0.19103555534842076,0
22,2020-08-23,False,True,0.41,340,500,125,2cd,1,51.39230769,-0.0,51.39230769,175.79230769,-624.905494377906,-624.905494377906,-537.4318492594068,0.0,0.0,87.47364511849923,2624.209353554977,-2055.6923076000003,-2055.6923076000003,-7031.6923076,0.0,-4976.0,,0.0,-0.0,47.46153846,50.79230769,34.66153846,34.53076923,36.00769231,0.0,0.17494729023699848,0
23,2020-08-24,False,True,0.41,340,500,125,2cd,1,415.7923077,-0.0,415.7923077,536.1384615,-3469.0384985836863,-3469.0384985836863,-3008.6506777552067,0.0,0.0,460.38782082847956,13811.634624854387,-16631.692307999998,-16631.692307999998,-21445.538459999996,0.0,-4813.846151999998,0.060069096165215274,0.0,-0.0,120.6,411.1384615,300.1615385,225.6461538,56.9,0.0,0.9207756416569591,1
24,2020-08-25,False,True,0.41,340,500,125,2cd,1,423.0692308,-0.0,423.0692308,473.3615385,-3309.590470475635,-3309.590470475635,-2848.652609951864,0.0,0.0,460.9378605237707,13828.135815713122,-16922.769232,-16922.769232,-18934.46154,0.0,-2011.6923080000015,0.10360423595907853,0.0,-0.0,145.67692309999998,348.3615385,319.2,221.62857140000003,54.87692308,0.0,0.9218757210475415,1
25,2020-08-26,False,True,0.41,340,500,125,2cd,1,433.3615385,-0.0,433.3615385,490.91538460000004,-3334.1024824326637,-3334.1024824326637,-2877.0805634408553,0.0,0.0,457.02191899180843,13710.657569754254,-17334.46154,-17334.46154,-19636.615384,0.0,-2302.1538440000004,0.09757171606800985,0.0,-0.0,199.0153846,365.91538460000004,352.3923077,224.23076919999997,48.47692308,0.0,0.9140438379836169,1
26,2020-08-27,False,True,0.41,340,500,125,2cd,1,360.3153846,-0.0,360.3153846,485.3153846,-3075.531759688459,-3075.531759688459,-2609.4003115799396,0.0,0.0,466.1314481085192,13983.943443255575,-14412.615384,-14412.615384,-19412.615384,0.0,-5000.0,0.0597675122234167,0.0,-0.0,83.02307692,360.3153846,264.88461540000003,200.4230769,44.86153846,0.0,0.9322628962170384,1
27,2020-08-28,False,True,0.41,340,500,125,2cd,1,441.7076923,-0.0,441.7076923,489.0307692,-3210.569138351389,-3210.569138351389,-2760.2104220745714,0.0,0.0,450.35871627681763,13510.761488304528,-17668.307692000002,-17668.307692000002,-19561.230768,0.0,-1892.9230759999991,0.10078281830225944,0.0,-0.0,128.4846154,364.0307692,323.8230769,248.76153849999997,44.94615385,0.0,0.9007174325536352,1
28,2020-08-29,False,True,0.41,340,500,125,2cd,1,53.85384615,-0.0,53.85384615,178.85384615,-607.314773540025,-607.314773540025,-537.2303383603694,0.0,0.0,70.08443517965566,2102.5330553896697,-2154.153846,-2154.153846,-7154.153846,0.0,-5000.0,,0.0,-0.0,53.85384615,52.86153846,32.36153846,32.36153846,32.36923077,0.0,0.1401688703593113,0
29,2020-08-30,False,True,0.41,340,500,125,2cd,1,57.3,-0.0,57.3,182.3,-637.2931131107928,-637.2931131107928,-546.5250959811738,0.0,0.0,90.76801712961901,2723.0405138885703,-2292.0,-2292.0,-7292.0,0.0,-5000.0,,0.0,-0.0,46.72307692,57.3,34.55384615,34.55384615,34.71538462,0.0,0.18153603425923803,0
30,2020-08-31,False,True,0.41,340,500,125,2cd,1,366.2,-0.0,366.2,461.72307689999997,-2497.354578855011,-2497.354578855011,-2162.5471378917846,0.0,0.0,334.8074409632263,10044.22322889679,-14648.0,-14648.0,-18468.923076,0.0,-3820.923075999999,0.013455890024462569,0.0,-0.0,89.36153846,336.72307689999997,256.9384615,166.9571429,55.84615385,0.0,0.6696148819264527,1
31,2020-09-01,False,True,0.41,340,500,125,2cd,1,427.6461538,-0.0,427.6461538,475.7615385,-3297.4485251033407,-3297.4485251033407,-2829.582324744025,0.0,0.0,467.8662003593158,14035.986010779474,-17105.846152,-17105.846152,-19030.46154,0.0,-1924.615388000002,0.10787743654601778,0.0,-0.0,183.4615385,350.7615385,298.2538462,201.3428571,62.32307692,0.0,0.9357324007186316,1
32,2020-09-02,False,True,0.41,340,500,125,2cd,1,406.53846150000004,-0.0,406.53846150000004,461.8153846,-3076.044769697579,-3076.044769697579,-2627.2985651322956,0.0,0.0,448.7462045652833,13462.3861369585,-16261.538460000002,-16261.538460000002,-18472.615384,0.0,-2211.076923999999,0.0953149846764143,0.0,-0.0,135.1153846,336.8153846,291.1384615,213.73846150000003,59.08461538,0.0,0.8974924091305666,1
