,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete
0,2020-08-01,False,True,0.41,340,500,125,2cd,1,63.63846154,-0.0,63.63846154,187.28461538,-716.0088180227518,-716.0088180227518,-603.3326987842621,0.0,0.0,112.67611923848959,3380.283577154688,-2545.5384616,-2545.5384616,-7491.3846152,0.0,-4945.8461536,,0.0,-0.0,57.54615385,63.63846154,41.17692308,41.17692308,40.16153846,0.0,0.2253522384769792,0
1,2020-08-02,False,True,0.41,340,500,125,2cd,1,58.14615385,-0.0,58.14615385,181.37692308,-721.1255722855917,-721.1255722855917,-597.9364950972048,0.0,0.0,123.18907718838705,3695.672315651611,-2325.846154,-2325.846154,-7255.0769231999975,0.0,-4929.2307692,,0.0,-0.0,55.6,57.58461538,42.95384615,41.48571429,39.49230769,0.0,0.2463781543767741,0
2,2020-08-03,False,True,0.41,340,500,125,2cd,1,446.5615385,-0.0,446.5615385,471.19230769999996,-3340.2469004607274,-3340.2469004607274,-2858.8120308955104,0.0,0.0,481.4348695652175,14443.046086956523,-17862.46154,-17862.46154,-18847.692308,0.0,-985.2307680000013,0.1272486706342546,0.0,-0.0,123.0769231,324.8307692,283.3769231,265.2153846,77.8,0.0,0.9628697391304348,1
3,2020-08-04,False,True,0.41,340,500,125,2cd,1,370.9923077,-0.0,370.9923077,478.3153846,-3267.3523626834635,-3267.3523626834635,-2785.9174931182465,0.0,0.0,481.4348695652175,14443.046086956523,-14839.692308000005,-14839.692308000005,-19132.615384,0.0,-4292.923075999999,0.07806133556485206,0.0,-0.0,135.5,353.3153846,268.7384615,205.1714286,64.17692308,0.0,0.9628697391304348,1
4,2020-08-05,False,True,0.41,340,500,125,2cd,1,431.0076923,-0.0,431.0076923,508.01538460000006,-3443.301612551141,-3443.301612551141,-2975.8357615018376,0.0,0.0,467.4658510493023,14023.975531479067,-17240.307692000002,-17240.307692000002,-20320.615384000004,0.0,-3080.307692000001,0.09043016218310652,0.0,-0.0,77.16153846,383.01538460000006,339.2,276.0923077,70.46923077,0.0,0.9349317020986044,1
5,2020-08-06,False,True,0.41,340,500,125,2cd,1,403.2692308,-0.0,403.2692308,513.5615385,-3255.08876089085,-3255.08876089085,-2791.446183192277,0.0,0.0,463.64257769857295,13909.27733095719,-16130.769231999999,-16130.769231999999,-20542.46154,0.0,-4411.692308,0.06803855424991334,0.0,-0.0,138.5692308,388.5615385,288.8692308,218.8846154,65.45384615,0.0,0.9272851553971461,1
6,2020-08-07,False,True,0.41,340,500,125,2cd,1,449.9615385,-0.0,449.9615385,529.5692308,-3484.8324330050677,-3484.8324330050677,-3003.3975634398494,0.0,0.0,481.4348695652179,14443.046086956538,-17998.461539999997,-17998.461539999997,-21182.769232,0.0,-3184.307692000001,0.09501683823486196,0.0,-0.0,146.67692309999995,404.5692308,330.1846154,278.7692308,66.29230769,0.0,0.9628697391304358,1
7,2020-08-08,False,True,0.41,340,500,125,2cd,1,193.5538462,-0.0,193.5538462,318.5538461999999,-1489.577830214701,-1489.577830214701,-1232.9093161317787,0.0,0.0,256.66851408292223,7700.055422487667,-7742.153847999999,-7742.153847999999,-12742.153847999998,0.0,-4999.999999999999,-0.08667244765252237,0.0,-0.0,145.99230769999997,193.5538462,126.5846154,112.0230769,36.66923077,0.0,0.5133370281658445,1
8,2020-08-09,False,True,0.41,340,500,125,2cd,1,158.87142859999997,-0.0,158.87142859999997,283.87142859999994,-1486.354720644797,-1486.354720644797,-1101.0178030995437,0.0,0.0,385.3369175452535,11560.107526357606,-6354.857143999999,-6354.857143999999,-11354.857143999998,0.0,-4999.999999999999,0.01917119521934718,0.0,-0.0,50.56923077,158.87142859999997,115.6846154,115.6846154,36.62857143,0.0,0.7706738350905071,1
9,2020-08-10,False,True,0.41,340,500,125,2cd,1,416.2,-0.0,416.2,541.2,-3528.3043588793143,-3528.3043588793143,-3073.2186649068035,0.0,0.0,455.0856939725109,13652.570819175327,-16648.0,-16648.0,-21648.0,0.0,-5000.0,0.05451785483177152,0.0,-0.0,141.03076919999995,416.2,312.8615385,201.5307692,53.93846154,0.0,0.9101713879450216,1
10,2020-08-11,False,True,0.41,340,500,125,2cd,1,398.2307692,-0.0,398.2307692,457.37692310000006,-3205.1936430526684,-3205.1936430526684,-2735.422868260661,0.0,0.0,469.7707747920076,14093.123243760227,-15929.230768000001,-15929.230768000001,-18295.076924,0.0,-2365.846156000001,0.10217094225698453,0.0,-0.0,90.55384615,332.3769231,300.6846154,205.6,54.92307692,0.0,0.9395415495840151,1
11,2020-08-12,False,True,0.41,340,500,125,2cd,1,408.5384615,-0.0,408.5384615,455.2142857,-3153.213043482064,-3153.213043482064,-2688.183190815189,0.0,0.0,465.02985266687483,13950.895580006245,-16341.538460000002,-16341.538460000002,-18208.571428,0.0,-1867.0329679999973,0.1075070304280008,0.0,-0.0,139.6153846,330.2142857,261.5769231,211.87692310000003,55.73076923,0.0,0.9300597053337496,1
