date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,energy_saving_per_kWh,storage_params
6/22/20,TRUE,TRUE,0.41,340,400,100,2cd,1,3435,-1099,2922,2848.088267,-26592.366,-21686.6526,-21298.09511,4905.7134,147171.402,388.5574862,11656.72459,-137400,-116880,-113923.5307,20520,2956.46931,0.193399251,0,0,29.14181147,400kWh-100kW
6/23/20,TRUE,TRUE,0.41,340,400,100,2cd,1,2540,-481,2268,2194.088267,-25685.0884,-23642.0342,-23253.47671,2043.0542,61291.626,388.5574862,11656.72459,-101600,-90720,-87763.53069,10880,2956.46931,0.193399251,0,0,29.14181147,400kWh-100kW
6/24/20,TRUE,TRUE,0.41,340,400,100,2cd,1,2728,-2668,1632,1632.528696,-22154.6196,-12173.113,-11685.67811,9981.5066,299445.198,487.4348862,14623.04659,-109120,-65280,-65301.14785,43840,-21.14785293,0.191835976,125.5794855,-91.84054083,36.55761646,400kWh-100kW
6/25/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1552,-2359,970,1070,-7326.6128,-3205.9698,-2944.391161,4120.643,123619.29,261.5786386,7847.359157,-62080,-38800,-42800,23280,-4000,-0.018429481,2895.30194,-48.4410378,19.61839789,400kWh-100kW
6/26/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1000,-1964,686,686,-8741.8473,-4477.8264,-3934.623395,4264.0209,127920.627,543.2030047,16296.09014,-40000,-27440,-27440,12560,0,0.219070364,2017.753314,-128.8521572,40.74022535,400kWh-100kW
6/27/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1245,-861,1016,1016,-12562.3556,-8983.5852,-8594.485848,3578.7704,107363.112,389.0993516,11672.98055,-49800,-40640,-40640,9160,0,0.143234512,0,0,29.18245137,400kWh-100kW
6/28/20,TRUE,TRUE,0.41,340,400,100,2cd,1,2010,-848,1700,1700,-19791.3234,-16959.9418,-16571.38431,2831.3816,84941.448,388.5574862,11656.72459,-80400,-68000,-68000,12400,0,0.142957619,0,0,29.14181147,400kWh-100kW
7/13/20,TRUE,TRUE,0.41,340,400,100,2cd,1,2623.471,-1127,1764.471,1864.471,-20426.01557,-16961.58027,-16573.02278,3464.4353,103933.059,388.5574862,11656.72459,-104938.84,-70578.84,-74578.84,34360,-4000,0.068910658,0,0,29.14181147,400kWh-100kW
7/14/20,TRUE,TRUE,0.41,340,400,100,2cd,1,3173.045,-1954,2678.045,2778.045,-28860.94371,-23673.88141,-23285.32393,5187.0623,155611.869,388.5574862,11656.72459,-126921.8,-107121.8,-111121.8,19800,-4000,0.068910658,0,0,29.14181147,400kWh-100kW
7/15/20,TRUE,TRUE,0.41,340,400,100,2cd,1,2078.301,-1024,1787.584,1713.672267,-22121.60485,-19013.21395,-18624.65647,3108.3909,93251.727,388.5574862,11656.72459,-83132.04,-71503.36,-68546.89069,11628.68,2956.46931,0.193399251,0,0,29.14181147,400kWh-100kW
7/16/20,TRUE,TRUE,0.41,340,400,100,2cd,1,3082.848,-2129,1521.995,1488,-25024.45131,-16458.49788,-16010.26039,8565.95343,256978.6029,448.2374862,13447.12459,-123313.92,-60879.8,-59520,62434.12,1359.8,0.195798133,293.27142,-41,33.61781147,400kWh-100kW
7/17/20,TRUE,TRUE,0.41,340,400,100,2cd,1,2334.505,-659,2008.09,2107.505,-24752.08628,-22810.71158,-22422.15409,1941.3747,58241.241,388.5574862,11656.72459,-93380.2,-80323.6,-84300.2,13056.6,-3976.6,0.069374263,0,0,29.14181147,400kWh-100kW
7/18/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1707.089,-1699,1430.132,1434.842453,-19224.76606,-13646.74236,-13277.95485,5578.0237,167340.711,368.7875124,11063.62537,-68283.56,-57205.28,-57393.69811,11078.28,-188.4181073,0.129437583,0,0,27.65906343,400kWh-100kW
7/19/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1607.73,-1142,1254.026,1354.026,-16250.65446,-11564.85306,-11176.29558,4685.8014,140574.042,388.5574862,11656.72459,-64309.2,-50161.04,-54161.04,14148.16,-4000,0.068910658,0,0,29.14181147,400kWh-100kW
3/16/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2881,-2977,1654,1654.000085,-23047.9378,-10890.5644,-10176.81774,12157.3734,364721.202,713.7466562,21412.39968,-115240,-66160,-66160.00342,49080,-0.00341929,0.186527176,737.7123144,-145.3162848,35.68733281,600kWh-150kW
3/17/20,TRUE,TRUE,0.41,340,600,150,2cd,1,3564,-2809,1660,1660.024576,-24679.7444,-12274.1086,-11407.46934,12405.6358,372169.074,866.6392596,25999.17779,-142560,-66400,-66400.98304,76160,-0.98304,0.23548454,1030.654329,-217.8316031,43.33196298,600kWh-150kW
3/18/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2061,-2783,1658,1508,-21180.242,-9607.8144,-8918.556517,11572.4276,347172.828,689.257883,20677.73649,-82440,-66320,-60320,16120,6000,0.244410067,1521.74567,-133.6960903,34.46289415,600kWh-150kW
3/19/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1653,-2746,1012,940,-15497.4996,-6300.274,-5776.368877,9197.2256,275916.768,523.9051229,15717.15369,-66120,-40480,-37600,25640,2880,0.156416334,2728.170811,-55.2229933,26.19525614,600kWh-150kW
3/20/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1427,-2804,972,890,-15235.1386,-5851.1872,-5335.447679,9383.9514,281518.542,515.7395214,15472.18564,-57080,-38880,-35600,18200,3280,0.158276165,2957.277013,-51.34775602,25.78697607,600kWh-150kW
3/21/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1534,-2599,1222,1120.000004,-16343.2508,-8004.2636,-7517.103713,8338.9872,250169.616,487.1598874,14614.79662,-61360,-48880,-44800.00018,12480,4079.999825,0.157890649,1988.158736,-37.78440567,24.35799437,600kWh-150kW
3/22/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1172,-2664,806,956,-9834.1265,-5464.1604,-4750.405084,4369.9661,131098.983,713.7553161,21412.65948,-46880,-32240,-38240,14640,-6000,0.117040654,2512.986655,-145.3222342,35.6877658,600kWh-150kW
4/6/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1982,-2300,1172,1022,-14098.2394,-7416.1606,-6549.300408,6682.0788,200462.364,866.8601922,26005.80577,-79280,-46880,-40880,32400,6000,0.29950879,1541.41045,-217.9828606,43.34300961,600kWh-150kW
