,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
16,2020-05-06,True,True,0.41,340,2000,500,2cd,1,1387.0,-804.0,1008.0,1252.0,-13917.934799999999,-10064.8348,-8155.832713043478,3853.0999999999985,115592.99999999996,1909.0020869565224,57270.06260869567,-55480.0,-40320.0,-50080.0,15160.0,-9760.0,0.1043079586751523,0.0,-0.0
17,2020-05-07,True,True,0.41,340,2000,500,2cd,1,2408.0,-2929.0,1422.0,1484.0,-22149.7157,-9719.7308,-7948.441608695652,12429.984900000001,372899.547,1771.2891913043477,53138.67573913043,-96320.0,-56880.0,-59360.0,39440.0,-2480.0,0.09358748356849578,963.7836294896033,-210.23156899810957
18,2020-05-08,True,True,0.41,340,2000,500,2cd,1,2133.0,-1474.0,2120.0,2290.0,-23784.7091,-17438.908600000002,-15458.055865028356,6345.800499999998,190374.01499999993,1980.852734971646,59425.58204914938,-85320.0,-84800.0,-91600.0,520.0,-6800.0,0.11147428116094527,0.0,-106.6
19,2020-05-09,True,True,0.41,340,2000,500,2cd,1,2194.0,-1400.0,1696.0,2196.0,-22054.4262,-16527.6072,-14618.605113043479,5526.819000000003,165804.5700000001,1909.0020869565196,57270.06260869559,-87760.0,-67840.0,-87840.0,19920.0,-20000.0,0.06498695499794938,0.0,-0.0
20,2020-05-10,True,True,0.41,340,2000,500,2cd,1,2672.0,-2804.0,1424.0,1924.0,-19972.279199999997,-10914.492,-8437.214963327033,9057.787199999997,271733.6159999999,2477.2770366729674,74318.31110018902,-106880.0,-56960.0,-76960.0,49920.0,-20000.0,0.07697682189028354,311.21999999999997,-464.12
21,2020-06-22,True,True,0.41,340,2000,500,2cd,1,3435.0,-1099.0,2922.0,2540.0,-26592.366,-21686.6526,-19777.650513043478,4905.713400000001,147171.402,1909.0020869565233,57270.0626086957,-137400.0,-116880.0,-101600.0,20520.0,15280.0,0.1917715720290698,0.0,-0.0
22,2020-06-23,True,True,0.41,340,2000,500,2cd,1,2540.0,-481.0,2268.0,2418.0,-25685.0884,-23642.034200000002,-21733.032113043475,2043.0541999999987,61291.62599999996,1909.002086956527,57270.06260869581,-101600.0,-90720.0,-96720.0,10880.0,-6000.0,0.1180791432719086,0.0,-0.0
23,2020-06-24,True,True,0.41,340,2000,500,2cd,1,2728.0,-2668.0,1632.0,1758.0,-22154.619599999998,-12173.113,-10203.358778449907,9981.506599999999,299445.198,1969.7542215500926,59092.62664650277,-109120.0,-65280.0,-70320.0,43840.0,-5040.0,0.10416976156665148,0.0,-223.85999999999999
24,2020-06-25,True,True,0.41,340,2000,500,2cd,1,1552.0,-2359.0,970.0,1470.0,-7326.612799999999,-3205.9698,-2790.170208695652,4120.642999999999,123619.28999999998,415.7995913043478,12473.987739130434,-62080.0,-38800.0,-58800.0,23280.0,-20000.0,,2881.4792438563327,-62.97258979206047
25,2020-06-26,True,True,0.41,340,2000,500,2cd,1,1000.0,-1964.0,686.0,810.0,-8741.847300000001,-4477.8264,-2620.798408695652,4264.020900000001,127920.62700000004,1857.0279913043478,55710.83973913043,-40000.0,-27440.0,-32400.0,12560.0,-4960.0,0.08916994644619392,1901.6385255198488,-250.92155009451793
26,2020-06-27,True,True,0.41,340,2000,500,2cd,1,1245.0,-861.0,1016.0,1168.0,-12562.355599999999,-8983.5852,-7157.269272967864,3578.7703999999994,107363.11199999998,1826.3159270321357,54789.477810964076,-49800.0,-40640.0,-46720.0,9160.0,-6080.0,0.10898691119060455,0.0,-0.0
27,2020-06-28,True,True,0.41,340,2000,500,2cd,1,2010.0,-848.0,1700.0,1700.0,-19791.3234,-16959.9418,-15050.939713043477,2831.3816000000006,84941.44800000002,1909.0020869565233,57270.0626086957,-80400.0,-68000.0,-68000.0,12400.0,0.0,0.13949686905588576,0.0,-0.0
28,2020-07-13,True,True,0.41,340,2000,500,2cd,1,2623.4709999999995,-1127.0,1764.4709999999995,2264.4709999999995,-20426.015566399998,-16961.5802664,-15052.578179443477,3464.4352999999974,103933.05899999992,1909.0020869565233,57270.0626086957,-104938.83999999998,-70578.83999999998,-90578.83999999998,34360.0,-20000.0,0.06498695499794982,0.0,-0.0
29,2020-07-14,True,True,0.41,340,2000,500,2cd,1,3173.045,-1954.0,2678.045,3178.045,-28860.943713299996,-23673.881413299998,-21764.879326343478,5187.062299999998,155611.86899999995,1909.0020869565196,57270.06260869559,-126921.8,-107121.8,-127121.8,19800.0,-20000.0,0.06498695499794938,0.0,-0.0
30,2020-07-15,True,True,0.41,340,2000,500,2cd,1,2078.301,-1024.0,1787.5839999999998,2110.154,-22121.604851699998,-19013.2139517,-17104.21186474348,3108.3908999999985,93251.72699999996,1909.0020869565196,57270.06260869559,-83132.04,-71503.35999999999,-84406.16,11628.680000000008,-12902.800000000017,0.0925511081334145,0.0,-0.0
31,2020-07-16,True,True,0.41,340,2000,500,2cd,1,3082.848,-2129.0,1521.995,1828.33,-25024.4513057,-16458.4978761,-14251.09578914348,8565.953429600002,256978.60288800005,2207.4020869565193,66222.06260869557,-123313.92,-60879.799999999996,-73133.2,62434.12,-12253.400000000001,0.10516195633477787,137.27142000000003,-205.0
32,2020-07-17,True,True,0.41,340,2000,500,2cd,1,2334.505,-659.0,2008.0900000000001,2507.505,-24752.086279999996,-22810.71158,-20901.709493043476,1941.3746999999967,58241.2409999999,1909.0020869565233,57270.0626086957,-93380.20000000001,-80323.6,-100300.20000000001,13056.600000000006,-19976.600000000006,0.06508053211053855,0.0,-0.0
33,2020-07-18,True,True,0.41,340,2000,500,2cd,1,1707.089,-1699.0,1430.132,1800.0,-19224.7660618,-13646.7423618,-11842.490068838375,5578.023700000002,167340.71100000004,1804.2522929616243,54127.56878884873,-68283.56,-57205.28,-72000.0,11078.279999999999,-14794.720000000001,0.07350487533052674,0.0,-0.0
34,2020-07-19,True,True,0.41,340,2000,500,2cd,1,1607.73,-1142.0,1254.026,1754.026,-16250.654462499999,-11564.853062499998,-9655.850975543477,4685.8014,140574.04200000002,1909.0020869565215,57270.06260869565,-64309.2,-50161.04,-70161.04000000001,14148.159999999996,-20000.000000000007,0.0649869549979496,0.0,-0.0
