date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
2020-05-06,True,True,0.41,340,1000,250,2cd,1,1387.0,-804.0,1008.0,1002.0,-13917.9348,-10064.8348,-9110.333756521739,3853.099999999999,115592.99999999994,954.5010434782615,28635.031304347853,-55480.0,-40320.0,-40080.0,15160.0,240.0,0.14118446821795014,0.0,-0.0
2020-05-07,True,True,0.41,340,1000,250,2cd,1,2408.0,-2929.0,1422.0,1350.0,-22149.7157,-9719.7308,-8733.036904347826,12429.9849,372899.547,986.6938956521736,29600.816869565217,-96320.0,-56880.0,-54000.0,39440.0,2880.0,0.1349391347141604,1018.1550850661628,-153.07183364839318
2020-05-08,True,True,0.41,340,1000,250,2cd,1,2133.0,-1474.0,2120.0,2040.0,-23784.7091,-17438.908600000002,-16335.20755652174,6345.800499999998,190374.015,1103.7010434782624,33111.031304347875,-85320.0,-84800.0,-81600.0,520.0,3200.0,0.17103475836494475,3.9,-102.5
2020-05-09,True,True,0.41,340,1000,250,2cd,1,2194.0,-1400.0,1696.0,1946.0,-22054.4262,-16527.6072,-15573.10615652174,5526.819000000002,165804.5700000001,954.5010434782596,28635.031304347798,-87760.0,-67840.0,-77840.0,19920.0,-10000.0,0.06498695499794938,0.0,-0.0
2020-05-10,True,True,0.41,340,1000,250,2cd,1,2672.0,-2804.0,1424.0,1674.0,-19972.2792,-10914.492,-9636.464681663516,9057.787199999997,271733.61599999986,1278.0273183364845,38340.81955009453,-106880.0,-56960.0,-66960.0,49920.0,-10000.0,0.07977119697220125,506.22,-259.12
2020-06-22,True,True,0.41,340,1000,250,2cd,1,3435.0,-1099.0,2922.0,2752.0,-26592.366,-21686.6526,-20732.15155652173,4905.7134000000015,147171.402,954.5010434782636,28635.031304347904,-137400.0,-116880.0,-110080.0,20520.0,6800.0,0.1861488449332147,0.0,-0.0
2020-06-23,True,True,0.41,340,1000,250,2cd,1,2540.0,-481.0,2268.0,2168.0,-25685.0884,-23642.0342,-22687.53315652174,2043.0541999999987,61291.62599999996,954.5010434782636,28635.031304347904,-101600.0,-90720.0,-86720.0,10880.0,4000.0,0.16720528679346502,0.0,-0.0
2020-06-24,True,True,0.41,340,1000,250,2cd,1,2728.0,-2668.0,1632.0,1632.0,-22154.6196,-12173.113000000001,-11086.568304347828,9981.5066,299445.19800000003,1086.5446956521737,32596.340869565214,-109120.0,-65280.0,-65280.0,43840.0,0.0,0.1319210823507,52.40597353497162,-168.76654064272213
2020-06-25,True,True,0.41,340,1000,250,2cd,1,1552.0,-2359.0,970.0,1220.0,-7326.612799999999,-3205.9698,-2772.495304347827,4120.642999999999,123619.28999999998,433.47449565217363,13004.234869565207,-62080.0,-38800.0,-48800.0,23280.0,-10000.0,-0.2337543146183109,2881.479243856333,-62.972589792060525
2020-06-26,True,True,0.41,340,1000,250,2cd,1,1000.0,-1964.0,686.0,686.0,-8741.847300000001,-4477.8264,-3297.199504347826,4264.020900000001,127920.62700000005,1180.626895652174,35418.80686956522,-40000.0,-27440.0,-27440.0,12560.0,0.0,0.1355900025605179,1907.167826086957,-245.1086956521739
2020-06-27,True,True,0.41,340,1000,250,2cd,1,1245.0,-861.0,1016.0,1016.0,-12562.3556,-8983.5852,-8058.118991304348,3578.7703999999994,107363.11199999998,925.4662086956514,27763.98626086954,-49800.0,-40640.0,-40640.0,9160.0,0.0,0.13351325488998644,0.0,-0.0
2020-06-28,True,True,0.41,340,1000,250,2cd,1,2010.0,-848.0,1700.0,1700.0,-19791.3234,-16959.9418,-16005.44075652174,2831.381600000001,84941.44800000003,954.5010434782615,28635.031304347853,-80400.0,-68000.0,-68000.0,12400.0,0.0,0.13949686905588576,0.0,-0.0
2020-07-13,True,True,0.41,340,1000,250,2cd,1,2623.4709999999995,-1127.0,1764.4709999999993,2014.4709999999993,-20426.0155664,-16961.5802664,-16007.07922292174,3464.435299999997,103933.05899999992,954.5010434782615,28635.031304347853,-104938.83999999998,-70578.83999999997,-80578.83999999997,34360.0,-10000.0,0.06498695499794982,0.0,-0.0
2020-07-14,True,True,0.41,340,1000,250,2cd,1,3173.045,-1954.0,2678.045,2928.045,-28860.943713300014,-23673.8814133,-22719.380369821738,5187.062299999998,155611.86899999995,954.5010434782596,28635.031304347798,-126921.8,-107121.8,-117121.8,19800.0,-10000.0,0.06498695499794938,0.0,-0.0
2020-07-15,True,True,0.41,340,1000,250,2cd,1,2078.301,-1024.0,1787.5839999999994,1860.154,-22121.6048517,-19013.213951700003,-18058.712908221736,3108.390899999999,93251.72699999996,954.5010434782636,28635.031304347904,-83132.04,-71503.35999999999,-74406.16,11628.680000000008,-2902.800000000017,0.11878324892914073,0.0,-0.0
2020-07-16,True,True,0.41,340,1000,250,2cd,1,3082.848,-2129.0,1521.995,1578.33,-25024.4513057,-16458.497876100002,-15354.796832621741,8565.953429600002,256978.60288800005,1103.7010434782587,33111.031304347765,-123313.92,-60879.8,-63133.2,62434.12,-2253.400000000001,0.13319778136260996,234.77142000000003,-102.5
2020-07-17,True,True,0.41,340,1000,250,2cd,1,2334.505,-659.0,2008.09,2257.505,-24752.08628,-22810.71158000001,-21856.210536521743,1941.3746999999967,58241.2409999999,954.5010434782562,28635.031304347685,-93380.2,-80323.6,-90300.2,13056.600000000004,-9976.600000000006,0.06517408933446256,0.0,-0.0
2020-07-18,True,True,0.41,340,1000,250,2cd,1,1707.089,-1699.0,1430.132,1550.0,-19224.7660618,-13646.7423618,-12743.339787174858,5578.0237000000025,167340.71100000007,903.4025746251407,27102.077238754227,-68283.56,-57205.28,-62000.0,11078.28,-4794.720000000001,0.0938070167223144,0.0,-0.0
2020-07-19,True,True,0.41,340,1000,250,2cd,1,1607.73,-1142.0,1254.026,1504.026,-16250.6544625,-11564.853062499995,-10610.352019021739,4685.8014,140574.04200000002,954.5010434782596,28635.031304347798,-64309.2,-50161.04,-60161.04,14148.159999999994,-10000.0,0.06498695499794938,0.0,-0.0
2020-03-16,True,True,0.41,340,1500,375,2cd,1,2881.0,-2977.0,1654.0,1654.0,-23047.9378,-10890.5644,-9283.95675652174,12157.3734,364721.2020000001,1606.607643478259,48198.229304347784,-115240.0,-66160.0,-66160.0,49080.0,0.0,0.12361867923660495,600.3965217391304,-289.67391304347825
2020-03-17,True,True,0.41,340,1500,375,2cd,1,3564.0,-2809.0,1660.0,1660.0,-24679.7444,-12274.1086,-10136.736956521738,12405.6358,372169.074,2137.371643478262,64121.149304347855,-142560.0,-66400.0,-66400.0,76160.0,0.0,0.1616609286368751,722.7134971644612,-541.5642722117202
2020-03-18,True,True,0.41,340,1500,375,2cd,1,2061.0,-2783.0,1658.0,1493.0,-21180.242,-9607.8144,-8100.214656521741,11572.4276,347172.828,1507.5997434782605,45227.99230434781,-82440.0,-66320.0,-59720.0,16120.0,6600.0,0.14759335533811901,1418.0717013232513,-242.68667296786398
2020-03-19,True,True,0.41,340,1500,375,2cd,1,1653.0,-2746.0,1012.0,1165.0,-15497.4996,-6300.2739999999985,-5187.6851565217385,9197.2256,275916.768,1112.5888434782598,33377.6653043478,-66120.0,-40480.0,-46600.0,25640.0,-6120.0,0.0539701056978712,2728.1716446124765,-55.2221172022684
2020-03-20,True,True,0.41,340,1500,375,2cd,1,1427.0,-2804.0,972.0,1115.0,-15235.138600000002,-5851.1872,-4746.763956521739,9383.951400000002,281518.54200000013,1104.4232434782616,33132.69730434785,-57080.0,-38880.0,-44600.0,18200.0,-5720.0,0.05547187348498239,2957.277844990548,-51.34688090737237
2020-03-21,True,True,0.41,340,1500,375,2cd,1,1534.0,-2599.0,1222.0,1145.0,-16343.2508,-8004.2636,-6928.41995652174,8338.9872,250169.616,1075.8436434782616,32275.309304347848,-61360.0,-48880.0,-45800.0,12480.0,3080.0,0.0989377012750976,1988.1595463138,-37.78355387523636
2020-03-22,True,True,0.41,340,1500,375,2cd,1,1172.0,-2664.0,806.0,1181.0,-9834.1265,-5464.160400000002,-3748.337856521739,4369.9661,131098.98299999998,1715.8225434782614,51474.67630434785,-46880.0,-32240.0,-47240.0,14640.0,-15000.0,0.05595983713873265,2326.37359168242,-341.5051984877126
2020-04-06,True,True,0.41,340,1500,375,2cd,1,1982.0,-2300.0,1172.0,1201.0,-14098.2394,-7416.160599999997,-5579.622249149338,6682.0787999999975,200462.36399999997,1836.5383508506607,55096.150525519835,-79280.0,-46880.0,-48040.0,32400.0,-1160.0,0.13681454774480728,1382.94,-384.58
2020-04-07,True,True,0.41,340,1500,375,2cd,1,1753.0,-2763.0,1552.0,1927.0,-19039.1088,-8566.8236,-7550.180556521738,10472.285200000002,314168.55600000004,1016.6430434782616,30499.291304347837,-70120.0,-62080.0,-77080.0,8040.0,-15000.0,-0.011948195701888431,1791.8044990548206,-9.688090737240042
2020-04-08,True,True,0.41,340,1500,375,2cd,1,1342.0,-2683.0,1230.0,1605.0,-14913.468,-6497.8822,-5501.653156521739,8415.585799999999,252467.574,996.2290434782608,29886.871304347824,-53680.0,-49200.0,-64200.0,4480.0,-15000.0,-0.014567191746361785,3010.8,-0.0
