date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete,weekday
2020-08-01,False,False,0.35,340,1000,250,2cd,1,63.63846154,-0.0,63.63846154,307.54615385,-716.0088180227517,-716.0088180227517,-744.0392205233927,0.0,0.0,-28.030402500641003,-840.9120750192301,-2545.5384616,-2545.5384616,-12301.846153999999,0.0,-9756.307692399998,,0.0,-0.0,57.54615385,63.63846154,41.17692308,41.17692308,40.16153846,0.0,-0.028030402500641004,0,0
2020-08-02,False,False,0.35,340,1000,250,2cd,1,58.14615385,-0.0,58.14615385,306.37692308,-721.1255722855917,-721.1255722855917,-738.6430168363352,0.0,0.0,-17.51744455074345,-525.5233365223035,-2325.846154,-2325.846154,-12255.076923199998,0.0,-9929.2307692,,0.0,-0.0,55.6,57.58461538,42.95384615,41.48571429,39.49230769,0.0,-0.017517444550743447,0,0
2020-08-03,False,False,0.35,340,1000,250,2cd,1,446.5615385,-0.0,446.5615385,550.0,-3340.2469004607274,-3340.2469004607274,-2520.3152811763166,0.0,0.0,819.9316192844108,24597.948578532323,-17862.46154,-17862.46154,-22000.0,0.0,-4137.53846,0.05036263887702552,0.0,-0.0,123.0769231,324.8307692,283.3769231,265.2153846,77.8,0.0,0.8199316192844107,0,1
2020-08-04,False,False,0.35,340,1000,250,2cd,1,370.9923077,-0.0,370.9923077,550.0,-3267.352362683464,-3267.352362683464,-2479.220870813374,0.0,0.0,788.13149187009,23643.9447561027,-14839.692308000002,-14839.692308000002,-22000.0,0.0,-7160.3076919999985,0.018677646139439563,0.0,-0.0,135.5,353.3153846,268.7384615,205.1714286,64.17692308,0.0,0.78813149187009,0,1
2020-08-05,False,False,0.35,340,1000,250,2cd,1,431.0076923,-0.0,431.0076923,550.0,-3443.30161255114,-3443.30161255114,-2674.4673072549203,0.0,0.0,768.8343052962196,23065.029158886588,-17240.307692,-17240.307692,-22000.0,0.0,-4759.6923080000015,0.0349138072627031,0.0,-0.0,77.16153846,383.0153846,339.2,276.0923077,70.46923077,0.0,0.7688343052962195,0,1
2020-08-06,False,False,0.35,340,1000,250,2cd,1,403.2692308,-0.0,403.2692308,550.0,-3255.08876089085,-3255.08876089085,-2541.031445160212,0.0,0.0,714.057315730638,21421.71947191914,-16130.769232,-16130.769232,-22000.0,0.0,-5869.230767999999,0.01297993429583122,0.0,-0.0,138.5692308,388.5615385,288.8692308,218.8846154,65.45384615,0.0,0.714057315730638,0,1
2020-08-07,False,False,0.35,340,1000,250,2cd,1,449.9615385,-0.0,449.9615385,550.0,-3484.8324330050673,-3484.8324330050673,-2753.207105182856,0.0,0.0,731.6253278222111,21948.759834666336,-17998.46154,-17998.46154,-22000.0,0.0,-4001.5384599999998,0.03324716983673648,0.0,-0.0,146.6769231,404.5692308,330.1846154,278.7692308,66.29230769,0.0,0.7316253278222111,0,1
2020-08-08,False,False,0.35,340,1000,250,2cd,1,193.5538462,-0.0,193.5538462,413.1,-1489.577830214701,-1489.577830214701,-1333.0674393129605,0.0,0.0,156.5103909017405,4695.311727052214,-7742.153848,-7742.153848,-16524.0,0.0,-8781.846152,,0.0,-0.0,145.9923077,193.5538462,126.5846154,112.0230769,36.66923077,0.0,0.1565103909017405,0,0
2020-08-09,False,False,0.35,340,1000,250,2cd,1,158.8714286,-0.0,158.8714286,408.8714286,-1486.354720644797,-1486.354720644797,-1224.614816332854,0.0,0.0,261.73990431194306,7852.197129358292,-6354.857144,-6354.857144,-16354.857144,0.0,-10000.0,,0.0,-0.0,50.56923077,158.8714286,115.6846154,115.6846154,36.62857143,0.0,0.26173990431194305,0,0
2020-08-10,False,False,0.35,340,1000,250,2cd,1,416.2,-0.0,416.2,550.0,-3528.3043588793143,-3528.3043588793143,-2659.632427919262,0.0,0.0,868.6719309600521,26060.157928801564,-16648.0,-16648.0,-22000.0,0.0,-5352.0,0.0507106031459712,0.0,-0.0,141.0307692,416.2,312.8615385,201.5307692,53.93846154,0.0,0.8686719309600521,0,1
2020-08-11,False,False,0.35,340,1000,250,2cd,1,398.2307692,-0.0,398.2307692,550.0,-3205.1936430526684,-3205.1936430526684,-2451.256727922236,0.0,0.0,753.9369151304322,22618.107453912966,-15929.230768,-15929.230768,-22000.0,0.0,-6070.769232000001,0.020516251065097357,0.0,-0.0,90.55384615,332.3769231,300.6846154,205.6,54.92307692,0.0,0.7539369151304323,0,1
2020-08-12,False,False,0.35,340,1000,250,2cd,1,408.5384615,-0.0,408.5384615,550.0,-3153.2130434820638,-3153.2130434820638,-2409.898590375304,0.0,0.0,743.3144531067596,22299.43359320279,-16341.53846,-16341.53846,-22000.0,0.0,-5658.46154,0.021738828899440454,0.0,-0.0,139.6153846,330.2142857,261.5769231,211.8769231,55.73076923,0.0,0.7433144531067596,0,1
