储能规模kWh,储能功率kW,是否工作日,总天数,储能每度电的日收益上限,0~8点超容天数,12～17超容天数,8～10放电受限天数,8～12放电受限天数,17～21放电受限天数,完成2cd天数,完成2cd天数平均每度电日收益,未完成2cd天数,未完成2cd天数平均每度电日收益,平均每度电的日收益,有需量收益天数,有需量收益天数的平均月收益,有需量罚款天数,有需量罚款天数的平均月罚款,平均需量月收益或罚款,平均IRR
1000,250,休息日,34,0.9545010434782609,0,0,10,18,0,23,0.9740097383544671,11,0.8743870025003779,0.9417788532252027,10,7238.0,24,-7177.0,-1671.0,0.08731729919577955
1000,250,工作日,85,0.9545010434782609,0,0,23,35,1,63,0.9693366995478715,22,0.8055323070597865,0.926940268550955,30,6388.0,55,-6617.0,-1248.0,0.07907349931312707
