储能规模kWh,储能功率kW,是否工作日,总天数,储能每度电的日收益上限,0~8点超容天数,12～17超容天数,8～10放电受限天数,8～12放电受限天数,17～21放电受限天数,完成2cd天数,完成2cd天数平均每度电日收益,未完成2cd天数,未完成2cd天数平均每度电日收益,平均每度电的日收益,有需量收益天数,有需量收益天数的平均月收益,有需量罚款天数,有需量罚款天数的平均月罚款,平均需量月收益或罚款,平均IRR
1000,250,休息日,52,0.9628697391304347,1,28,32,43,52,0,,52,0.39991703760661046,0.39991703760661046,0,,52,-7081.0,-7081.0,0.003320352663574033
1000,250,工作日,125,0.9628697391304347,3,114,19,74,124,0,,125,0.737316947894894,0.737316947894894,0,,125,-3890.0,-3890.0,0.04972020035767319
