储能规模kWh,储能功率kW,是否工作日,总天数,储能每度电的日收益上限,0~8点超容天数,12～17超容天数,8～10放电受限天数,8～12放电受限天数,17～21放电受限天数,完成2cd天数,完成2cd天数平均每度电日收益,未完成2cd天数,未完成2cd天数平均每度电日收益,平均每度电的日收益,有需量收益天数,有需量收益天数的平均月收益,有需量罚款天数,有需量罚款天数的平均月罚款,平均需量月收益或罚款,平均IRR
500,125,休息日,52,0.9628697391304347,0,0,19,21,45,13,0.9628697391304344,39,0.5204738318837207,0.631072808695399,0,,52,-4227.0,-4227.0,0.006704235190066825
500,125,工作日,125,0.9628697391304347,0,4,9,11,100,63,0.9628697391304343,62,0.7760079447032409,0.8701862890945468,0,,125,-3608.0,-3608.0,0.04806009100068674
